                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81656,                0.97272,                 1.2724,                0.73028,                0.74386,                0.78101,                0.59309,                0.88905,                 1.0447,                 1.3637,              0.0096634,              0.0096634,              0.0096634
                     36,                0.81913,                0.96109,                 1.2684,                 0.7484,                0.72203,                0.78904,                0.59748,                0.90189,                 1.0925,                 1.3553,              0.0096535,              0.0096535,              0.0096535
                     37,                 0.8412,                 0.9448,                 1.2715,                0.70955,                0.76721,                0.78837,                0.59877,                0.89316,                 1.0499,                  1.339,              0.0096436,              0.0096436,              0.0096436
                     38,                0.82484,                 0.9618,                 1.2697,                   0.73,                0.71359,                0.74126,                0.55951,                0.88935,                 1.0724,                 1.3471,              0.0096337,              0.0096337,              0.0096337
                     39,                0.81606,                 0.9096,                 1.2686,                0.79461,                0.67056,                0.79157,                0.60057,                0.88732,                0.98332,                 1.3565,              0.0096238,              0.0096238,              0.0096238
                     40,                0.81308,                0.91023,                 1.2626,                0.70581,                0.78053,                0.80547,                0.61453,                0.88391,                0.96081,                  1.321,              0.0096139,              0.0096139,              0.0096139
                     41,                0.80682,                0.89457,                 1.2484,                0.67502,                0.79711,                0.78494,                0.60464,                0.87373,                0.95746,                 1.3198,               0.009604,               0.009604,               0.009604
                     42,                0.83036,                0.93504,                 1.2656,                0.72143,                0.69638,                0.77403,                0.58282,                0.89128,                0.99805,                 1.3611,              0.0095941,              0.0095941,              0.0095941
                     43,                0.81021,                0.91583,                 1.2634,                0.70347,                0.78686,                0.80097,                0.60876,                0.87716,                0.97528,                 1.3322,              0.0095842,              0.0095842,              0.0095842
                     44,                0.80284,                0.90356,                 1.2545,                0.69046,                0.74157,                0.75114,                0.57222,                0.89942,                 1.0605,                 1.3561,              0.0095743,              0.0095743,              0.0095743
                     45,                0.80141,                0.88487,                 1.2492,                0.65919,                0.72669,                0.73018,                0.55363,                0.90399,                 1.1046,                 1.3974,              0.0095644,              0.0095644,              0.0095644
                     46,                 0.8009,                0.89499,                 1.2635,                0.68061,                0.79558,                0.79974,                0.60531,                0.86398,                0.95546,                 1.3467,              0.0095545,              0.0095545,              0.0095545
                     47,                0.78406,                0.86905,                 1.2392,                0.79331,                0.75195,                0.82744,                0.63188,                0.86656,                0.92107,                 1.3377,              0.0095446,              0.0095446,              0.0095446
                     48,                0.79959,                0.89362,                 1.2469,                0.69996,                0.72538,                0.75469,                 0.5778,                0.86841,                 1.0154,                 1.2923,              0.0095347,              0.0095347,              0.0095347
                     49,                0.78157,                0.85823,                 1.2401,                0.73555,                0.72441,                0.78846,                0.60505,                0.89206,                 1.0211,                 1.3337,              0.0095248,              0.0095248,              0.0095248
                     50,                0.78994,                0.86971,                 1.2408,                0.68534,                0.66711,                0.73254,                0.56439,                0.88493,                 1.0668,                 1.3569,              0.0095149,              0.0095149,              0.0095149
                     51,                0.78977,                0.85133,                 1.2448,                0.76248,                0.77315,                0.81564,                0.64256,                0.85143,                0.91116,                 1.3325,               0.009505,               0.009505,               0.009505
                     52,                0.78019,                 0.8543,                 1.2364,                0.74639,                0.75855,                0.80837,                0.63448,                0.83978,                0.89577,                 1.2902,              0.0094951,              0.0094951,              0.0094951
                     53,                 0.7697,                0.83873,                 1.2236,                0.71133,                0.74245,                0.77756,                0.59744,                0.87784,                 1.0043,                 1.3323,              0.0094852,              0.0094852,              0.0094852
                     54,                 0.7692,                0.82186,                 1.2265,                0.74941,                0.73594,                0.78877,                0.60171,                0.83311,                0.94072,                 1.2895,              0.0094753,              0.0094753,              0.0094753
                     55,                0.77093,                0.84677,                 1.2278,                0.74527,                0.73844,                 0.7854,                0.60286,                0.86037,                 0.9581,                  1.308,              0.0094654,              0.0094654,              0.0094654
                     56,                0.77021,                0.82652,                 1.2353,                 0.7061,                0.76805,                0.79011,                0.62238,                0.84485,                0.93942,                 1.3238,              0.0094555,              0.0094555,              0.0094555
                     57,                0.77078,                0.81513,                  1.237,                 0.7139,                0.77279,                0.79393,                 0.6068,                0.86096,                0.95065,                 1.3321,              0.0094456,              0.0094456,              0.0094456
                     58,                0.75929,                0.81584,                 1.2206,                0.69292,                0.79134,                0.78201,                0.59543,                0.87895,                0.95532,                 1.3409,              0.0094357,              0.0094357,              0.0094357
                     59,                 0.7522,                0.77359,                 1.2088,                0.75363,                0.72481,                0.79488,                0.61026,                0.86363,                0.89299,                 1.3213,              0.0094258,              0.0094258,              0.0094258
                     60,                0.75674,                0.79117,                 1.2169,                0.74796,                 0.7621,                0.80108,                0.61138,                0.87235,                0.96425,                 1.3322,              0.0094159,              0.0094159,              0.0094159
                     61,                0.74728,                0.78126,                 1.2038,                0.67316,                0.78011,                 0.7821,                0.61084,                0.83607,                0.96824,                 1.2958,               0.009406,               0.009406,               0.009406
                     62,                0.75314,                 0.7883,                  1.208,                0.69878,                0.72876,                0.77618,                0.58968,                0.86496,                 1.0485,                 1.3218,              0.0093961,              0.0093961,              0.0093961
                     63,                0.72278,                0.76032,                 1.1835,                0.69463,                0.78704,                0.80154,                0.60957,                0.85696,                 0.9247,                 1.3282,              0.0093862,              0.0093862,              0.0093862
                     64,                0.75372,                0.79083,                  1.213,                0.72017,                0.78687,                0.79238,                0.60082,                0.84256,                0.96674,                 1.3204,              0.0093763,              0.0093763,              0.0093763
                     65,                0.75006,                0.76315,                 1.2265,                 0.7193,                0.76095,                0.79341,                 0.6047,                0.87477,                 1.0296,                 1.3466,              0.0093664,              0.0093664,              0.0093664
                     66,                0.74305,                0.77427,                 1.2105,                0.75172,                0.74479,                0.80198,                0.61556,                0.87248,                0.94365,                 1.3643,              0.0093565,              0.0093565,              0.0093565
                     67,                0.73053,                 0.7663,                 1.2011,                0.73846,                0.74856,                0.78944,                0.61455,                0.86804,                0.97494,                 1.3413,              0.0093466,              0.0093466,              0.0093466
                     68,                0.74185,                0.77739,                 1.2059,                0.71863,                0.78328,                0.80798,                0.61869,                0.86405,                0.95173,                 1.3117,              0.0093367,              0.0093367,              0.0093367
                     69,                0.74791,                0.78326,                 1.2129,                0.74264,                0.74301,                0.80303,                0.62552,                0.87013,                0.97984,                 1.3288,              0.0093268,              0.0093268,              0.0093268
                     70,                0.74074,                0.76636,                 1.2129,                0.73723,                0.71348,                0.76477,                0.59962,                0.83652,                0.97575,                 1.3088,              0.0093169,              0.0093169,              0.0093169
                     71,                 0.7279,                0.72546,                  1.199,                0.74617,                0.72105,                0.79025,                0.62118,                0.86554,                0.94666,                  1.329,               0.009307,               0.009307,               0.009307
                     72,                0.71531,                0.73748,                  1.198,                0.74268,                0.75267,                0.77627,                0.61253,                0.84775,                 1.0124,                 1.3284,              0.0092971,              0.0092971,              0.0092971
                     73,                0.73558,                0.76271,                 1.2043,                0.72643,                0.77533,                0.78771,                 0.6106,                0.88791,                 1.0218,                 1.3892,              0.0092872,              0.0092872,              0.0092872
                     74,                0.73763,                0.74248,                 1.1988,                0.75005,                0.72917,                0.78625,                0.61141,                0.88128,                0.99051,                 1.3594,              0.0092773,              0.0092773,              0.0092773
                     75,                0.72738,                0.72277,                 1.1944,                0.76383,                0.70563,                0.78571,                0.60725,                0.90488,                 1.0121,                 1.3788,              0.0092674,              0.0092674,              0.0092674
                     76,                0.73421,                 0.7003,                  1.197,                0.69952,                0.75704,                0.79062,                0.60738,                0.86959,                0.97939,                 1.3478,              0.0092575,              0.0092575,              0.0092575
                     77,                 0.7387,                0.71669,                 1.2011,                0.73695,                0.76744,                0.81711,                0.63379,                0.86295,                0.88985,                 1.3312,              0.0092476,              0.0092476,              0.0092476
                     78,                0.73151,                0.72863,                 1.1937,                0.72359,                0.75331,                0.80075,                0.63456,                0.83752,                0.96456,                  1.318,              0.0092377,              0.0092377,              0.0092377
                     79,                0.71958,                0.69219,                 1.1887,                0.77998,                0.74487,                0.80479,                0.62633,                0.84806,                0.91471,                 1.3092,              0.0092278,              0.0092278,              0.0092278
                     80,                0.71424,                0.71205,                 1.1726,                0.76292,                0.75558,                0.78374,                0.60724,                0.87322,                0.92625,                 1.3466,              0.0092179,              0.0092179,              0.0092179
                     81,                0.72549,                0.72154,                 1.1885,                0.72059,                0.76374,                0.77002,                0.59614,                0.86408,                0.96851,                 1.3137,               0.009208,               0.009208,               0.009208
                     82,                0.70307,                0.69188,                 1.1755,                0.72364,                0.79378,                0.80669,                 0.6298,                0.84128,                0.89216,                 1.3165,              0.0091981,              0.0091981,              0.0091981
                     83,                0.72633,                0.70128,                 1.1955,                0.71496,                  0.734,                0.80063,                0.61003,                0.83149,                0.95027,                  1.308,              0.0091882,              0.0091882,              0.0091882
                     84,                0.71673,                0.69415,                 1.1856,                0.73702,                0.76316,                0.80797,                 0.6288,                0.86112,                0.89194,                 1.3334,              0.0091783,              0.0091783,              0.0091783
                     85,                 0.7092,                0.69814,                 1.1906,                0.69299,                0.80207,                0.82311,                0.63998,                0.85464,                0.94277,                 1.3058,              0.0091684,              0.0091684,              0.0091684
                     86,                0.70646,                0.67909,                 1.1883,                0.73893,                0.72736,                0.78671,                0.61504,                0.86687,                0.99349,                 1.3473,              0.0091585,              0.0091585,              0.0091585
                     87,                 0.7031,                0.69541,                 1.1909,                0.76415,                0.72863,                0.79371,                0.62188,                 0.8656,                0.91717,                  1.334,              0.0091486,              0.0091486,              0.0091486
                     88,                0.70321,                0.69833,                 1.1697,                 0.7579,                0.75834,                0.80003,                 0.6272,                0.85124,                0.92994,                 1.3287,              0.0091387,              0.0091387,              0.0091387
                     89,                0.70343,                0.69141,                 1.1835,                0.77039,                0.71661,                0.78752,                0.61574,                0.85678,                0.90528,                 1.3407,              0.0091288,              0.0091288,              0.0091288
                     90,                0.70233,                0.69289,                 1.1835,                0.73452,                0.73919,                0.79705,                0.62835,                0.86391,                 0.9883,                 1.3379,              0.0091189,              0.0091189,              0.0091189
                     91,                0.68067,                0.66614,                 1.1566,                0.71541,                0.75384,                0.77112,                0.61192,                0.84714,                 1.0208,                 1.3403,               0.009109,               0.009109,               0.009109
                     92,                 0.6854,                 0.6899,                  1.173,                0.78523,                0.77771,                0.82021,                0.64831,                 0.8609,                0.90164,                 1.3556,              0.0090991,              0.0090991,              0.0090991
                     93,                0.70294,                0.68161,                 1.1803,                0.75794,                0.74726,                0.80977,                0.63973,                0.82792,                0.93164,                 1.3297,              0.0090892,              0.0090892,              0.0090892
                     94,                0.69824,                0.65765,                 1.1768,                0.73829,                0.72006,                0.78869,                0.62409,                 0.8324,                 0.9657,                 1.3087,              0.0090793,              0.0090793,              0.0090793
                     95,                0.68507,                0.65252,                 1.1685,                0.74447,                0.79523,                0.80322,                0.62743,                0.84698,                0.91371,                 1.3073,              0.0090694,              0.0090694,              0.0090694
                     96,                0.70268,                0.67515,                 1.1739,                0.77877,                0.77926,                0.82635,                0.65993,                0.82077,                0.88682,                 1.2838,              0.0090595,              0.0090595,              0.0090595
                     97,                 0.6788,                0.64381,                 1.1615,                0.76715,                0.76522,                 0.8016,                0.62726,                0.86619,                0.92421,                  1.374,              0.0090496,              0.0090496,              0.0090496
                     98,                0.69901,                0.68546,                 1.1776,                0.77893,                 0.7829,                0.83964,                0.66181,                0.85202,                0.84526,                 1.3121,              0.0090397,              0.0090397,              0.0090397
                     99,                0.67085,                0.65599,                 1.1544,                0.78975,                0.72916,                0.82139,                0.64132,                 0.8387,                0.90484,                 1.3175,              0.0090298,              0.0090298,              0.0090298
                    100,                0.67815,                0.66458,                 1.1591,                0.71639,                0.76168,                0.79772,                0.63664,                0.81338,                0.96442,                 1.3082,              0.0090199,              0.0090199,              0.0090199
                    101,                0.68602,                0.68283,                 1.1627,                0.77313,                0.73037,                 0.8091,                0.65128,                0.83126,                0.92263,                 1.3112,                0.00901,                0.00901,                0.00901
                    102,                0.68858,                0.64184,                 1.1678,                0.75251,                0.73977,                0.79157,                0.62288,                0.84478,                 0.9275,                 1.3299,              0.0090001,              0.0090001,              0.0090001
                    103,                0.67565,                0.64939,                  1.156,                0.76403,                0.72994,                0.81511,                0.63853,                0.83445,                0.91007,                 1.3272,              0.0089902,              0.0089902,              0.0089902
                    104,                0.68201,                0.62796,                 1.1683,                0.73134,                0.81103,                0.81909,                0.63915,                0.86814,                0.94031,                 1.3626,              0.0089803,              0.0089803,              0.0089803
                    105,                0.68488,                0.65634,                 1.1623,                0.79038,                0.75577,                0.81656,                0.63052,                0.84731,                0.88114,                 1.3546,              0.0089704,              0.0089704,              0.0089704
                    106,                0.67345,                0.63011,                 1.1586,                0.76179,                 0.7635,                0.80195,                0.63272,                0.85901,                0.90466,                 1.3504,              0.0089605,              0.0089605,              0.0089605
                    107,                0.64992,                0.59854,                 1.1404,                0.68153,                0.77753,                 0.7962,                0.62331,                0.84498,                0.99239,                 1.3316,              0.0089506,              0.0089506,              0.0089506
                    108,                0.66678,                0.62901,                 1.1591,                0.79003,                0.76834,                0.82312,                0.63326,                0.87447,                0.91734,                   1.34,              0.0089407,              0.0089407,              0.0089407
                    109,                0.65553,                0.62383,                 1.1513,                0.69214,                0.80618,                0.82171,                0.64375,                0.85848,                0.90071,                 1.3608,              0.0089308,              0.0089308,              0.0089308
                    110,                0.66731,                0.62881,                 1.1573,                0.72205,                0.79069,                0.78409,                0.61191,                0.85847,                0.90707,                 1.3272,              0.0089209,              0.0089209,              0.0089209
                    111,                0.67151,                0.61477,                 1.1525,                 0.7668,                0.75714,                0.79182,                0.62485,                0.84501,                0.89982,                 1.3044,               0.008911,               0.008911,               0.008911
                    112,                0.67913,                0.62758,                 1.1488,                0.78693,                0.77144,                0.83158,                0.64459,                0.83205,                  0.804,                 1.3121,              0.0089011,              0.0089011,              0.0089011
                    113,                0.65293,                 0.6198,                 1.1441,                0.75899,                0.75863,                0.81778,                0.64819,                0.83684,                0.88001,                 1.3166,              0.0088912,              0.0088912,              0.0088912
                    114,                0.66225,                0.63827,                 1.1509,                0.78164,                0.75221,                0.82403,                  0.646,                0.86846,                0.86975,                 1.3389,              0.0088813,              0.0088813,              0.0088813
                    115,                0.66788,                0.63782,                 1.1481,                0.76011,                0.77711,                 0.8052,                0.62772,                0.84487,                0.87831,                 1.3411,              0.0088714,              0.0088714,              0.0088714
                    116,                0.65545,                0.62669,                 1.1474,                0.75087,                0.76616,                0.80473,                0.62627,                0.83859,                0.92291,                 1.3152,              0.0088615,              0.0088615,              0.0088615
                    117,                0.65587,                0.61571,                 1.1485,                0.77963,                0.78315,                0.81396,                0.63949,                 0.8282,                0.92274,                 1.3251,              0.0088516,              0.0088516,              0.0088516
                    118,                0.65794,                0.63228,                 1.1503,                0.74585,                0.76998,                0.79883,                0.62109,                 0.8517,                0.92274,                 1.3298,              0.0088417,              0.0088417,              0.0088417
                    119,                0.65517,                0.62842,                 1.1478,                0.75613,                0.76055,                0.82408,                0.64583,                0.87528,                0.88346,                 1.3636,              0.0088318,              0.0088318,              0.0088318
                    120,                0.64119,                0.60885,                 1.1316,                  0.741,                0.73953,                0.79269,                0.62166,                0.85633,                0.95617,                 1.3628,              0.0088219,              0.0088219,              0.0088219
                    121,                 0.6415,                 0.6027,                 1.1236,                0.74809,                 0.7599,                0.79696,                0.61362,                0.86594,                0.95229,                 1.3759,               0.008812,               0.008812,               0.008812
                    122,                0.63749,                0.60284,                  1.126,                 0.7733,                0.71431,                0.81245,                0.63669,                0.83954,                0.93689,                 1.3404,              0.0088021,              0.0088021,              0.0088021
                    123,                0.67508,                0.60114,                 1.1519,                0.77791,                0.74864,                0.82143,                0.63239,                 0.8873,                 0.9197,                 1.3632,              0.0087922,              0.0087922,              0.0087922
                    124,                0.63886,                0.60496,                 1.1349,                0.73739,                0.79907,                0.82881,                0.64235,                0.84746,                  0.888,                  1.357,              0.0087823,              0.0087823,              0.0087823
                    125,                0.64683,                0.60856,                 1.1483,                0.79695,                 0.7141,                0.81125,                0.63368,                0.82928,                0.89064,                 1.3136,              0.0087724,              0.0087724,              0.0087724
                    126,                0.63123,                0.58635,                 1.1314,                0.82773,                0.71937,                0.82686,                0.64065,                0.85111,                0.88396,                 1.3352,              0.0087625,              0.0087625,              0.0087625
                    127,                0.64359,                0.60461,                 1.1467,                0.75764,                 0.8045,                0.82814,                0.64073,                0.84409,                0.86175,                 1.3246,              0.0087526,              0.0087526,              0.0087526
                    128,                0.63788,                0.58258,                 1.1415,                0.72031,                0.78227,                0.81201,                0.64276,                 0.8458,                0.90154,                 1.3669,              0.0087427,              0.0087427,              0.0087427
                    129,                  0.644,                0.61639,                 1.1446,                0.73224,                0.78836,                0.82799,                0.66673,                 0.8197,                 0.8535,                 1.2898,              0.0087328,              0.0087328,              0.0087328
                    130,                0.64096,                0.58281,                 1.1337,                0.70584,                0.78658,                0.82557,                0.65676,                0.84858,                0.91595,                 1.3274,              0.0087229,              0.0087229,              0.0087229
                    131,                0.65192,                0.57147,                 1.1356,                0.77178,                0.73527,                0.79874,                0.62988,                0.85288,                0.93791,                  1.335,               0.008713,               0.008713,               0.008713
                    132,                0.64946,                0.59019,                 1.1316,                0.65681,                0.79834,                 0.7661,                 0.5942,                0.87346,                 1.0347,                 1.3743,              0.0087031,              0.0087031,              0.0087031
                    133,                0.63627,                0.58395,                 1.1295,                0.74129,                0.75815,                  0.798,                0.63315,                0.85578,                0.97769,                 1.3392,              0.0086932,              0.0086932,              0.0086932
                    134,                0.63704,                0.60013,                 1.1316,                0.76107,                0.77223,                0.80988,                0.63596,                 0.8239,                 0.8985,                 1.2952,              0.0086833,              0.0086833,              0.0086833
                    135,                0.63078,                0.58213,                 1.1272,                0.73243,                0.78013,                0.80142,                0.61246,                0.88286,                0.94644,                 1.3396,              0.0086734,              0.0086734,              0.0086734
                    136,                0.64859,                0.59523,                 1.1464,                0.79314,                0.69417,                0.80895,                0.62624,                0.86944,                0.94422,                 1.3638,              0.0086635,              0.0086635,              0.0086635
                    137,                0.63338,                0.60797,                 1.1287,                0.72322,                0.77569,                 0.8018,                0.62647,                0.84935,                 0.9062,                 1.3239,              0.0086536,              0.0086536,              0.0086536
                    138,                0.62304,                0.55626,                 1.1163,                0.80107,                0.76184,                 0.8276,                0.65411,                0.84637,                0.89342,                  1.303,              0.0086437,              0.0086437,              0.0086437
                    139,                0.62144,                0.56345,                 1.1247,                0.80172,                0.73386,                0.80255,                0.63249,                 0.8324,                0.90285,                 1.3021,              0.0086338,              0.0086338,              0.0086338
                    140,                0.61608,                 0.5524,                 1.1211,                0.72075,                0.80568,                0.81635,                0.63911,                0.84101,                0.88357,                 1.3202,              0.0086239,              0.0086239,              0.0086239
                    141,                0.65226,                0.58938,                 1.1385,                0.80881,                0.74482,                0.82002,                0.64142,                0.84183,                0.90317,                 1.3349,               0.008614,               0.008614,               0.008614
                    142,                0.61851,                0.53359,                 1.1077,                0.76956,                0.74122,                0.81343,                0.65249,                0.83012,                0.97715,                  1.334,              0.0086041,              0.0086041,              0.0086041
                    143,                0.61791,                0.55231,                 1.1085,                0.75504,                0.75441,                0.80552,                0.64679,                0.82857,                0.94295,                  1.319,              0.0085942,              0.0085942,              0.0085942
                    144,                0.62568,                0.55361,                 1.1189,                0.77552,                0.79785,                0.82039,                 0.6467,                0.83963,                0.89086,                 1.3051,              0.0085843,              0.0085843,              0.0085843
                    145,                0.61662,                0.56195,                 1.1113,                0.72738,                0.78463,                0.81055,                0.64324,                0.83876,                0.88913,                 1.3158,              0.0085744,              0.0085744,              0.0085744
                    146,                0.62054,                0.55245,                 1.1217,                 0.7965,                0.75471,                0.82291,                0.64504,                0.82846,                0.91242,                 1.3136,              0.0085645,              0.0085645,              0.0085645
                    147,                0.61503,                0.55829,                 1.1117,                0.78867,                0.78372,                0.81199,                0.63852,                0.85782,                0.89691,                 1.3409,              0.0085546,              0.0085546,              0.0085546
                    148,                0.62045,                0.56704,                 1.1258,                0.74953,                0.74192,                0.80429,                0.62684,                0.85737,                0.93799,                 1.3487,              0.0085447,              0.0085447,              0.0085447
                    149,                0.61936,                0.54556,                 1.1199,                0.77382,                 0.7564,                0.79902,                0.63733,                0.85978,                0.92963,                  1.333,              0.0085348,              0.0085348,              0.0085348
                    150,                0.63057,                 0.5614,                 1.1171,                 0.7345,                0.74804,                0.77748,                 0.6161,                0.84677,                0.93939,                 1.3123,              0.0085249,              0.0085249,              0.0085249
                    151,                0.61799,                0.55034,                 1.1104,                0.81434,                0.72556,                0.82686,                0.64747,                0.85112,                0.87275,                 1.3222,               0.008515,               0.008515,               0.008515
                    152,                0.60111,                0.52804,                 1.1002,                0.77228,                0.77042,                0.80135,                 0.6368,                0.84814,                 0.8688,                 1.3063,              0.0085051,              0.0085051,              0.0085051
                    153,                0.60284,                0.53636,                  1.112,                0.76674,                0.71786,                0.78714,                0.62496,                0.85037,                0.97215,                 1.3487,              0.0084952,              0.0084952,              0.0084952
                    154,                0.59878,                0.54354,                 1.1051,                0.74055,                0.77619,                  0.802,                0.63287,                0.85015,                0.91379,                 1.3343,              0.0084853,              0.0084853,              0.0084853
                    155,                0.60878,                0.54927,                 1.1084,                0.75332,                 0.7762,                0.81078,                0.63933,                 0.8352,                 0.8902,                 1.3285,              0.0084754,              0.0084754,              0.0084754
                    156,                0.60282,                0.56063,                 1.1047,                0.72209,                0.79954,                 0.8158,                0.64593,                0.84044,                0.92691,                 1.3416,              0.0084655,              0.0084655,              0.0084655
